
name,ref
Akṣayamatinirdeśa,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=5fb208a3-189e-11e4-856a-001cc4ddf0f4
Aṣṭasāhasrikā Prajñāpāramitā,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=71f3de9e-5528-11e4-856a-001cc4ddf0f4
Bhaiṣajyagurupūrvapraṇidhānasūtra,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=cb4f2a81-88f2-11e7-8793-0050569f23b2
Bodhisatvacaryānirdeśa,/polyglotta/index.php?page=volume&bid=2&vid=30&entity=30&kid=30
Bodhisatvapiṭaka,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=4a5cac90-976f-11e1-ab97-001cc4df1abe
"Bodhisatvapiṭaka, BMSC IV",http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=862f2eb4-2655-11e5-99e8-001cc4ddf0f4
Brahmaśrīvyākaraṇa,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=72059147-baca-11e1-82eb-001cc4ddf0f4
Buddhanāmanirdeśa,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=096a6dfb-6e39-11e8-8a71-0050569f23b2
Daśabhūmikasūtra,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=e2da7c54-bb74-11e7-8793-0050569f23b2
"Dīrghāgama, sūtras no. 35-41",http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=b7e8f921-01f7-11e4-a105-001cc4ddf0f4
Drāmiḍāvidyārājā,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=273b48f7-bded-11e1-b349-001cc4ddf0f4
Gaganagañjaparipṛcchā,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=69c1ca55-ca79-11e5-99e8-001cc4ddf0f4
Gaṇḍavyūhasūtra,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=6192b7c0-9318-11eb-a1c5-005056a97067
Gaṅgottaraparipṛcchā,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=ea446c56-b3d4-11e1-82eb-001cc4ddf0f4
Kāśyapaparivarta,/polyglotta/index.php?page=volume&bid=2&vid=21&entity=21&kid=21
Khaḍgaviṣāṇasūtra,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=777d34a6-9184-11e7-8793-0050569f23b2
Laṅkāvatārasūtra,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=bb1c0dc1-83ae-11e4-856a-001cc4ddf0f4
Maitreyavyākaraṇa,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=dab3b673-62b7-11e6-98cc-0050569f23b2
Mañjuśrīvikrīḍitasūtra,/polyglotta/index.php?page=volume&bid=2&vid=20&entity=20&kid=20
Prajñāpāramitāhṛdayasūtra,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=f38aa0c1-80ac-11e6-98cc-0050569f23b2
Pratyutpannabuddhasamādhisūtra,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=af8fce33-ab51-11e8-8a71-0050569f23b2
Ratnaguṇasaṃcayagāthā,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=ec68468e-5119-11e6-98cc-0050569f23b2
Saddharmapuṇḍarīka,http://www2.hf.uio.no/common/apps/permlink/permlink.php?app=polyglotta&context=volume&uid=2152744c-b44c-11e4-bbf3-001cc4ddf0f4
Sarvadharmāpravṛttinirdeśa,/polyglotta/index.php?page=volume&bid=2&vid=73&entity=73&kid=73
